"target_end_date","location","target","quantile","truth","value","model","window_size"
2021-01-02,"01","4 wk ahead inc case",0.025,26000,14819.0124885017,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.1,26000,19165.669249724,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.25,26000,23529.149676231,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.5,26000,29116.6026394451,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.75,26000,35882.9082588279,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.9,26000,43380.1593163749,"EWA",4
2021-01-02,"01","4 wk ahead inc case",0.975,26000,53285.5090990669,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.025,2324,3514.65994434335,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.1,2324,4261.2125297286,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.25,2324,4892.89026352795,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.5,2324,5689.09366611824,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.75,2324,6553.97827712158,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.9,2324,7387.0362103917,"EWA",4
2021-01-02,"02","4 wk ahead inc case",0.975,2324,8544.69295812341,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.025,46109,34606.710090331,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.1,46109,42096.907112769,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.25,46109,48472.8233771,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.5,46109,57336.9368845288,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.75,46109,67015.2899489401,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.9,46109,76625.333706062,"EWA",4
2021-01-02,"04","4 wk ahead inc case",0.975,46109,89973.9756012246,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.025,17473,7926.43936439361,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.1,17473,10260.3949815755,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.25,17473,12362.5027307104,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.5,17473,15012.0612961938,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.75,17473,18097.8201873816,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.9,17473,21284.2163874448,"EWA",4
2021-01-02,"05","4 wk ahead inc case",0.975,17473,25716.8506903285,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.025,270592,130735.33009821,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.1,270592,163557.87093732,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.25,270592,191507.759239002,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.5,270592,231907.279994797,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.75,270592,274049.286372044,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.9,270592,321075.231117413,"EWA",4
2021-01-02,"06","4 wk ahead inc case",0.975,270592,379477.800692768,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.025,15553,13775.6563224294,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.1,15553,17433.7296001898,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.25,15553,21720.959353073,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.5,15553,27390.6331864767,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.75,15553,33954.0849365036,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.9,15553,40844.1165888964,"EWA",4
2021-01-02,"08","4 wk ahead inc case",0.975,15553,50705.3137792738,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.025,17377,9534.87609644435,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.1,17377,11409.2616584928,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.25,17377,13496.9850507943,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.5,17377,17469.6636315127,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.75,17377,22261.5669364884,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.9,17377,27281.2514864075,"EWA",4
2021-01-02,"09","4 wk ahead inc case",0.975,17377,33838.9599411211,"EWA",4
2021-01-02,"10","4 wk ahead inc case",0.025,4400,4305.05964271163,"EWA",4
2021-01-02,"10","4 wk ahead inc case",0.1,4400,5182.91398326377,"EWA",4
2021-01-02,"10","4 wk ahead inc case",0.25,4400,6048.34835562754,"EWA",4
2021-01-02,"10","4 wk ahead inc case",0.5,4400,7168.95236427894,"EWA",4
2021-01-02,"10","4 wk ahead inc case",0.75,4400,8424.70620807152,"EWA",4
