"window_size","test_date","EWA","V2","V3","V4","QRA2","QRA3","QRA4","GQRA2","GQRA3","GQRA4"
"1",2020-05-16,32.2948491121155,49.0986767753723,48.8708048790368,49.5346351515698,39.2474655249273,80.8475984645241,64.5068134619364,62.847957107283,168.82558398201,233.303022501007
"1",2020-05-23,35.336842035741,38.1309283556213,36.6750989975968,36.5100576026983,41.4133795554473,50.9370815854308,53.8102382588095,37.4293103018387,51.0034419509998,43.8202935904315
"1",2020-05-30,33.7008966791618,31.7651364765081,30.6186512551757,30.4220468606457,37.3370116886397,36.1869812343692,37.019545258788,36.4573874419211,37.2368513704965,31.0817901117688
"1",2020-06-06,39.4837291672207,36.3342820198573,31.0035097805083,30.8524796706886,40.5958418018721,38.6627751958008,38.6822075272505,40.0169981681601,50.5812487586741,35.3345229885735
"1",2020-06-13,34.2672099519892,31.0503432684182,21.9926295561307,22.3234580874338,37.1753385947539,31.9332440166795,34.4879805957082,32.3400378679348,37.6575013495094,24.5663034554845
"1",2020-06-20,26.8441138104258,23.008094626923,35.0067650128862,34.8717214817573,30.1929754683364,43.7238310868672,41.8766658577949,31.1628092965915,64.8016849694998,41.9523211106829
"1",2020-06-27,82.6630109454902,91.6041072881343,97.7363791827884,97.8630245393316,91.7086577583708,89.4470358856889,97.5322213565387,72.4269145067987,79.6624168543539,92.3973550255381
"1",2020-07-04,25.3592626263574,34.0608699681298,70.6202503321147,67.8584824852702,31.9960106704236,86.8985206294303,96.4517818414668,30.7862755395366,116.744968159895,89.2397160307472
"2",2020-05-23,35.336842035741,35.0534038362377,43.68864747833,43.4051743401884,40.5208733012346,69.1216011009291,69.90568556291,33.6373190228706,84.5401548038268,59.2271202362373
"2",2020-05-30,33.7008966791618,33.7174515397553,31.2896657691489,31.3635659243795,37.3735266659264,32.4084849083739,32.6079723639923,35.8520408945142,41.6201582373005,31.7961332182154
"2",2020-06-06,39.4837291672207,37.4960709055212,29.2032558811597,28.884787581722,39.8260840884424,33.786317316366,35.4429762178749,46.4359680620593,49.5777825491493,30.5443706204368
"2",2020-06-13,34.2672099519892,31.3456783176021,28.2870236406732,28.5134510474967,39.2055070049022,44.3942696736542,45.7534245364869,31.8031401233494,33.0744667145308,34.7510625585252
"2",2020-06-20,26.8441138104258,25.6062647767029,37.7278080126275,37.4443672314822,29.2688436743504,43.6722773955523,44.2006345314234,31.5042757424226,52.2016206425308,43.6295592891571
"2",2020-06-27,82.6630109454902,91.5084785492089,92.9317041065765,92.7908422869896,86.6817372549887,90.4991744800241,99.9415163711046,92.4151483667595,96.9255752265331,89.1306496744624
"2",2020-07-04,25.3592626263574,26.0264843767186,35.2937731436205,35.808535437322,30.307205365841,41.621681745455,44.1812426684692,23.4139642368238,62.5509842978821,34.3735919196298
"3",2020-05-30,33.7008966791618,33.1146893641589,40.7784346402532,40.6729364008326,36.4009943669907,49.9269309219386,49.7384387740363,33.0236230745894,48.5214541095161,45.1669541027779
"3",2020-06-06,39.4837291672207,39.7601918905622,30.1762043224343,29.6015357238645,45.3297755010758,29.8689204573763,29.9831914875477,38.9877849961959,30.6478713560743,28.7545810034737
"3",2020-06-13,34.2672099519892,31.0790974708223,26.3579828767029,26.4148200752512,37.4467536226846,36.733497449956,36.3800712336626,39.819976993357,41.9648563965129,31.0478502640107
"3",2020-06-20,26.8441138104258,26.5126104847177,37.7540245206784,37.4916996186098,30.7372650257726,41.8765430430756,40.8417974650991,34.6705607548514,51.6823608518267,39.2273723399744
"3",2020-06-27,82.6630109454902,89.2692190199181,84.7300093488488,83.019190294895,82.5714730154778,82.1509105600352,83.3427296431521,92.415600336867,80.7778386716698,80.2042569301874
"3",2020-07-04,25.3592626263574,25.8726198649345,30.3709240847822,30.6858161971678,29.7542674924892,32.599224841904,32.8880399492279,29.5548808835396,34.4898115538763,26.9306370805585
"4",2020-06-06,39.4837291672207,36.2943186505592,25.7837919209215,25.6163865774472,43.1700381716916,29.4022816432797,29.7234654722565,40.5001338742339,38.4576409482985,26.9931109123761
"4",2020-06-13,34.2672099519892,33.2883584654595,27.0658836113894,26.9656143786056,37.169396068916,28.9649523143053,28.5088731727432,33.923783289103,31.8355984014248,28.1344271253241
"4",2020-06-20,26.8441138104258,24.8574673079798,36.1214215870515,35.1524525016712,28.140452064237,41.2249844320264,41.0080695888223,23.3866523824049,33.9011327484351,39.3794074393595
"4",2020-06-27,82.6630109454902,86.27790144859,80.1967562364383,79.4544287995033,84.6928133178287,80.3832509418849,81.2057973805233,102.641604293124,81.7498167426367,78.2863011160568
"4",2020-07-04,25.3592626263574,25.8707870469076,31.9788918703723,32.0716365259745,29.3023165409977,31.7927913127978,32.5689188875691,30.0570352653969,48.8091994848107,27.7619394590863
