"window_size","test_date","EWA","V2","V3","V4","QRA2","QRA3","QRA4","GQRA2","GQRA3","GQRA4"
1,2020-05-16,82.4061606217054,115.684419334154,74.5325211219407,74.9829579488149,94.4499482761168,179.660811140175,193.588360376123,88.2312795294527,149.151076635894,118.934430790022
1,2020-05-23,80.7602263407451,79.1244761640928,70.0960388060661,69.3298197253589,85.0332294751942,72.6189356578065,72.9381832038356,78.6609451120973,102.494978513693,70.9956995351359
1,2020-05-30,83.0130232317896,81.5578743688796,58.6310746972424,58.3902203975562,84.3339039423578,68.2344944276501,76.8090382299815,83.9837311678503,82.3053186801418,65.0464534294431
1,2020-06-06,94.9640622452038,93.9842267257984,54.6004890788874,54.0390281294307,100.903890455894,61.3916064070063,62.9585352460911,104.190018979118,104.351182279743,59.3650908068136
1,2020-06-13,94.0367708191994,89.5964996698185,55.6768828501769,55.51806522388,92.5906398403094,68.4692587800139,71.6978997697833,110.989882857425,98.7952733027145,64.8506112593215
1,2020-06-20,78.7837206961413,74.4597978281806,76.1821650926869,77.7036781273452,79.4598648294175,94.5548578336295,88.0012515955731,87.7008296361122,120.177980400867,81.7074504437033
1,2020-06-27,82.6630109454902,71.4489818812861,73.5410445332583,73.3217679496836,84.046349540483,62.7727478347391,61.3751236924823,72.2910590557354,82.0268232993973,63.013726211084
1,2020-07-04,25.3592626263574,34.0608699681298,70.6202503321147,67.8584824852702,33.6508866401777,86.8985206294303,96.4517818414668,34.7401028753489,100.316629118546,89.2397160307472
1,2020-07-11,27.4657564976164,46.9211634433313,55.3230643196349,48.420768168263,43.3319434758038,58.7147109062386,60.1159823909832,39.8675739902828,86.7028639357126,50.4135892853729
1,2020-07-18,29.8724938554658,34.391610018805,31.7141473115745,31.7529976831621,34.2500135137214,34.2289373135527,45.7532430422467,42.0987961864593,38.9619070426637,30.0350967462931
1,2020-07-25,26.7800470579015,37.5708350375893,43.7369523226714,40.3482398908753,33.6361865509684,43.7343109279064,42.1827399095261,37.5820363068849,79.7748992743039,46.9751971901411
1,2020-08-01,61.4525769630912,53.8166783664389,39.9002139554513,39.3456420539547,67.2992965152784,53.0524760564834,52.0518762459458,68.8712305942324,103.856794676867,44.0830682822944
2,2020-05-23,80.7602263407451,81.5254543876749,76.7667927288656,76.1323871085642,84.0792288959261,86.1428311535146,82.9956861030448,89.5003695022301,82.5429764568096,81.7119914990064
2,2020-05-30,83.0130232317896,83.4383839225739,58.503084491606,58.2193680618441,84.9528223792229,55.9491026625976,56.3484853394389,85.7192723842009,72.4705257653446,55.215262634024
2,2020-06-06,94.9640622452038,94.9813223250656,54.8653700688002,54.2529411512018,99.026977995913,58.4782525010184,60.4366440190043,110.272138519741,197.303521992869,56.7033106883012
2,2020-06-13,94.0367708191994,89.1695857174613,58.5733083337598,57.643856171031,98.6921155515946,55.5835867065514,54.4947657562649,102.886684775739,66.7912816339629,54.512901520175
2,2020-06-20,78.7837206961413,69.1117320974662,81.8633936949167,79.9519102622826,80.2477906011537,90.3786614174318,85.8986178044207,76.1341868504462,124.350316531397,87.6530349510601
2,2020-06-27,82.6630109454902,72.4932645284339,63.5523363286256,63.0591109577117,84.9270616074966,60.0335034469307,58.7158371041,99.8352152451505,76.933405785024,58.256544101646
2,2020-07-04,25.3592626263574,33.783130560637,64.9900851925056,63.6167268077149,34.1185298912077,69.3643873718893,87.5714723333053,34.541377706956,48.9044791791187,70.0919963139185
2,2020-07-11,27.4657564976164,43.9741501138466,37.5206175970732,36.0815071615917,41.5872601588717,38.1586785484257,39.6448540974432,38.2399338797355,41.1236414571863,40.4883479956539
2,2020-07-18,29.8724938554658,33.5418863457955,31.6800991313224,31.7735441324346,36.9841815925196,31.9098345682379,34.7244378783608,47.0470861360164,108.400074654038,30.8671046504774
2,2020-07-25,26.7800470579015,26.4151752552626,24.3000797189313,24.4003672544401,34.2967434994557,32.468186492929,33.981028392611,24.4867746282593,87.5212433052458,24.5747922360558
2,2020-08-01,61.4525769630912,56.854893315192,39.6247236907485,39.7494485317502,66.0768464456959,50.2131658095871,51.5214494105997,64.7085133604932,72.197078142556,45.6434700808819
3,2020-05-30,83.0130232317896,80.9225619482929,70.1533542282881,70.2661415919943,86.9148357948499,77.3541447990297,74.7464071579112,81.6718220178564,97.0110770980627,74.0646111983191
3,2020-06-06,94.9640622452038,96.9332357391011,57.7494312674867,56.9291337555817,97.2437966890737,59.6952174109978,59.9465533573938,92.4584705724639,52.9523795489668,60.274890636137
3,2020-06-13,94.0367708191994,89.3637277035621,57.4021490489805,56.8794233349524,99.7925591694105,53.764718509137,52.6638279177036,89.0624195671459,68.7467348759857,54.2365542077816
3,2020-06-20,78.7837206961413,70.6571760117157,71.581656054357,70.0561801550387,83.199721977551,82.5568375941108,82.428556889991,72.6123866367719,72.1617397755235,78.5493798532561
3,2020-06-27,82.6630109454902,74.2992669474449,60.7788539367102,59.173905927439,88.1278089627347,60.3646027232471,58.41154161108,73.814359183869,77.438722850532,58.3753843849904
3,2020-07-04,25.3592626263574,32.1441159434982,64.4618806010512,64.4589635617642,35.513708792826,64.5755831714807,67.8955872538116,29.8599856735421,84.1378051750264,69.5561452261771
3,2020-07-11,27.4657564976164,48.3034677457445,45.680874312136,42.4491736783315,43.4855949317853,45.2735801075047,44.3204033494772,48.8458301094063,66.5534001722287,48.2372853529692
3,2020-07-18,29.8724938554658,32.8386933764759,32.344884506122,32.3589438866298,37.9375334061801,32.5401119776151,32.6191206155071,29.8986812759234,50.7119196146165,31.9299799578039
