"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-08-29,"01","1 wk ahead cum death","V3_iter","4","Alabama",46.3865907355098,5.69099145224733,21.6992001850848,0,27.3901916373321
2020-08-29,"02","1 wk ahead cum death","V3_iter","4","Alaska",1.8349813263643,0.33438605297517,0.70284719194257,0,1.03723324491774
2020-08-29,"04","1 wk ahead cum death","V3_iter","4","Arizona",17.42907230117,10.9863417171336,2.18041081508482,0,13.1667525322185
2020-08-29,"05","1 wk ahead cum death","V3_iter","4","Arkansas",13.094285714908,3.43622586382031,3.51550348333148,0,6.95172934715179
2020-08-29,"06","1 wk ahead cum death","V3_iter","4","California",91.3360023747991,39.1415591392513,0,15.9742271044347,55.1157862436861
2020-08-29,"08","1 wk ahead cum death","V3_iter","4","Colorado",2.81975468262999,2.35309310932145,0.276132292323916,0,2.62922540164536
2020-08-29,"09","1 wk ahead cum death","V3_iter","4","Connecticut",1.37570478189991,2.37740711985091,0,0.0818165078173637,2.45922362766828
2020-08-29,"10","1 wk ahead cum death","V3_iter","4","Delaware",4.21854584674099,2.06971256675072,0,0.643346759641689,2.71305932639241
2020-08-29,"12","1 wk ahead cum death","V3_iter","4","Florida",6.94318299900078,26.828580522488,0.301877521695686,0,27.1304580441837
2020-08-29,"13","1 wk ahead cum death","V3_iter","4","Georgia",48.48090192582,20.0880018875398,8.29285859670084,0,28.3808604842406
2020-08-29,"15","1 wk ahead cum death","V3_iter","4","Hawaii",8.4675734729634,1.51160007050855,2.77599273833027,0,4.28759280883882
2020-08-29,"16","1 wk ahead cum death","V3_iter","4","Idaho",19.644385811141,1.7097143914028,11.0737060919131,0,12.7834204833159
2020-08-29,"17","1 wk ahead cum death","V3_iter","4","Illinois",0.496993517030205,8.32602812339919,0.021608413783922,0,8.34763653718311
2020-08-29,"18","1 wk ahead cum death","V3_iter","4","Indiana",22.0205935150698,4.67495617770162,0,7.49892438341,12.1738805611116
2020-08-29,"19","1 wk ahead cum death","V3_iter","4","Iowa",5.84345889920996,3.42585404486318,0.711957407992605,0,4.13781145285578
2020-08-29,"20","1 wk ahead cum death","V3_iter","4","Kansas",2.58594764228297,1.73366735289362,0.301422106127607,0,2.03508945902122
2020-08-29,"21","1 wk ahead cum death","V3_iter","4","Kentucky",5.23646946906399,3.14997426427175,0,0.693306511401651,3.8432807756734
2020-08-29,"22","1 wk ahead cum death","V3_iter","4","Louisiana",18.0601590094802,12.5760901084074,0,2.04832584320348,14.6244159516109
2020-08-29,"23","1 wk ahead cum death","V3_iter","4","Maine",2.020301047365,0.414798977912998,0,0.71034403208074,1.12514300999374
2020-08-29,"24","1 wk ahead cum death","V3_iter","4","Maryland",12.1728373578298,3.03269334898224,3.40292240518394,0,6.43561575416618
2020-08-29,"25","1 wk ahead cum death","V3_iter","4","Massachusetts",38.3058060273706,6.40085245010864,14.3237258525502,0,20.7245783026589
