"quantile","target_end_date","location","target","truth","value","model","window_size"
0.025,2020-08-29,"13","1 wk ahead cum death",5576,5422.67059255459,"QNA3",4
0.025,2020-08-29,"44","1 wk ahead cum death",1046,1030.9914487555,"QNA3",4
0.025,2020-08-29,"51","1 wk ahead cum death",2568,2487.69481772199,"QNA3",4
0.025,2020-08-29,"22","1 wk ahead cum death",4904,4830.05591811363,"QNA3",4
0.025,2020-08-29,"39","1 wk ahead cum death",4126,4066.05536733582,"QNA3",4
0.025,2020-08-29,"32","1 wk ahead cum death",1302,1277.69816284674,"QNA3",4
0.025,2020-08-29,"15","1 wk ahead cum death",62,47.6887700034166,"QNA3",4
0.025,2020-08-29,"28","1 wk ahead cum death",2427,2343.56027072608,"QNA3",4
0.025,2020-08-29,"US","1 wk ahead cum death",183021,181722.532198739,"QNA3",4
0.025,2020-08-29,"49","1 wk ahead cum death",407,393.415953911274,"QNA3",4
0.025,2020-08-29,"24","1 wk ahead cum death",3746,3714.4052556596,"QNA3",4
0.025,2020-08-29,"45","1 wk ahead cum death",2698,2633.30062263908,"QNA3",4
0.025,2020-08-29,"08","1 wk ahead cum death",1942,1930.79432670793,"QNA3",4
0.025,2020-08-29,"23","1 wk ahead cum death",132,131.0316537338,"QNA3",4
0.025,2020-08-29,"40","1 wk ahead cum death",797,767.206372153636,"QNA3",4
0.025,2020-08-29,"33","1 wk ahead cum death",432,429.767045379274,"QNA3",4
0.025,2020-08-29,"10","1 wk ahead cum death",604,600.397911456795,"QNA3",4
0.025,2020-08-29,"29","1 wk ahead cum death",1528,1489.06533462131,"QNA3",4
0.025,2020-08-29,"47","1 wk ahead cum death",1725,1686.1316720262,"QNA3",4
0.025,2020-08-29,"30","1 wk ahead cum death",104,91.5523375762808,"QNA3",4
0.025,2020-08-29,"09","1 wk ahead cum death",4465,4461.43691584647,"QNA3",4
0.025,2020-08-29,"46","1 wk ahead cum death",167,160.384111541905,"QNA3",4
0.025,2020-08-29,"18","1 wk ahead cum death",3285,3280.2101431776,"QNA3",4
0.025,2020-08-29,"36","1 wk ahead cum death",32891,32896.6998635353,"QNA3",4
0.025,2020-08-29,"34","1 wk ahead cum death",15933,15958.2484006573,"QNA3",4
0.025,2020-08-29,"53","1 wk ahead cum death",1899,1908.53594944516,"QNA3",4
