"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-12-12,"01","4 wk ahead inc death","V3_iter","4","Alabama",193.871194950598,20.7360324784723,0,128.868364411602,149.604396890074
2020-12-12,"02","4 wk ahead inc death","V3_iter","4","Alaska",10.3148128236261,3.24104412992297,0,2.56014302998773,5.8011871599107
2020-12-12,"04","4 wk ahead inc death","V3_iter","4","Arizona",333.791690924676,52.2771118080292,0,190.973869354621,243.25098116265
2020-12-12,"05","4 wk ahead inc death","V3_iter","4","Arkansas",136.915863715251,14.35312778106,0,91.2190169948214,105.572144775881
2020-12-12,"06","4 wk ahead inc death","V3_iter","4","California",857.649120842134,84.5354453531374,0,564.885652011342,649.42109736448
2020-12-12,"08","4 wk ahead inc death","V3_iter","4","Colorado",471.082626231397,46.9054853651899,0,314.523207290782,361.428692655972
2020-12-12,"09","4 wk ahead inc death","V3_iter","4","Connecticut",205.393325480438,31.5001542540308,0,136.645389643407,168.145543897437
2020-12-12,"10","4 wk ahead inc death","V3_iter","4","Delaware",36.4508021168225,6.25519330921706,0,19.5208391848399,25.776032494057
2020-12-12,"12","4 wk ahead inc death","V3_iter","4","Florida",712.515150058722,69.6660805500995,0,486.022967891529,555.689048441629
2020-12-12,"13","4 wk ahead inc death","V3_iter","4","Georgia",339.745251520914,38.2797012686077,0,219.994284179941,258.273985448549
2020-12-12,"15","4 wk ahead inc death","V3_iter","4","Hawaii",2.8458885691243,1.31869737135981,0,0.50986007640404,1.82855744776385
2020-12-12,"16","4 wk ahead inc death","V3_iter","4","Idaho",78.186741300404,10.5101495408654,0,48.6064142461047,59.11656378697
2020-12-12,"17","4 wk ahead inc death","V3_iter","4","Illinois",1409.2710892819,140.320902048161,0,951.254249972153,1091.57515202031
2020-12-12,"18","4 wk ahead inc death","V3_iter","4","Indiana",732.897327598079,77.2946035071447,0,485.844853499352,563.139457006497
2020-12-12,"19","4 wk ahead inc death","V3_iter","4","Iowa",554.865696773005,48.5122840767358,0,385.900587411196,434.412871487932
2020-12-12,"20","4 wk ahead inc death","V3_iter","4","Kansas",353.761708104772,60.7141059075259,0,209.388172310918,270.102278218444
2020-12-12,"21","4 wk ahead inc death","V3_iter","4","Kentucky",157.195562109363,20.0931505585661,0,96.0374921448138,116.13064270338
2020-12-12,"22","4 wk ahead inc death","V3_iter","4","Louisiana",137.032873246299,19.1287735573584,0,84.6687777599978,103.797551317356
2020-12-12,"23","4 wk ahead inc death","V3_iter","4","Maine",40.0952941894364,4.44262906654705,0,26.9554939994603,31.3981230660073
2020-12-12,"24","4 wk ahead inc death","V3_iter","4","Maryland",214.301112212956,22.7330404533438,0,133.872517392057,156.6055578454
2020-12-12,"25","4 wk ahead inc death","V3_iter","4","Massachusetts",515.74481078152,49.6621458815873,0,363.58276013223,413.244906013817
2020-12-12,"26","4 wk ahead inc death","V3_iter","4","Michigan",1312.19912272613,242.074173284456,0,696.388129541622,938.462302826078
2020-12-12,"27","4 wk ahead inc death","V3_iter","4","Minnesota",667.274150532488,58.1337927936088,0,481.170471154226,539.304263947835
2020-12-12,"28","4 wk ahead inc death","V3_iter","4","Mississippi",103.775000821684,24.3867539737542,0,43.0555559469208,67.442309920675
2020-12-12,"29","4 wk ahead inc death","V3_iter","4","Missouri",480.508082763028,39.7909432023172,0,355.213972505514,395.004915707832
2020-12-12,"30","4 wk ahead inc death","V3_iter","4","Montana",128.330396567244,14.4478528242088,0,82.81624125235,97.2640940765588
2020-12-12,"31","4 wk ahead inc death","V3_iter","4","Nebraska",153.180539155095,17.1614446124128,0,100.412877334354,117.574321946767
2020-12-12,"32","4 wk ahead inc death","V3_iter","4","Nevada",97.214684862211,15.9291480950437,0,50.3172553105894,66.2464034056331
2020-12-12,"33","4 wk ahead inc death","V3_iter","4","New Hampshire",57.1469607286632,11.7368622239965,0,25.3674366989916,37.1042989229881
2020-12-12,"34","4 wk ahead inc death","V3_iter","4","New Jersey",406.835979591153,60.5879792690251,0,243.075071497141,303.663050766166
2020-12-12,"35","4 wk ahead inc death","V3_iter","4","New Mexico",182.391639260085,16.6742435249362,0,129.823447160974,146.497690685911
2020-12-12,"36","4 wk ahead inc death","V3_iter","4","New York",491.780636584297,53.3963382817522,0,328.673950130615,382.070288412367
2020-12-12,"37","4 wk ahead inc death","V3_iter","4","North Carolina",236.576269154159,19.9459007667064,0,165.894621775812,185.840522542518
2020-12-12,"38","4 wk ahead inc death","V3_iter","4","North Dakota",146.967111564598,11.5080852246929,0,109.489724771008,120.997809995701
2020-12-12,"39","4 wk ahead inc death","V3_iter","4","Ohio",679.550319024272,75.7814782938006,0,408.458686799602,484.240165093403
2020-12-12,"40","4 wk ahead inc death","V3_iter","4","Oklahoma",267.960428616908,33.3644082598367,0,166.244184642067,199.608592901904
2020-12-12,"41","4 wk ahead inc death","V3_iter","4","Oregon",124.812178012227,13.4497842352308,0,81.3703615219058,94.8201457571366
2020-12-12,"42","4 wk ahead inc death","V3_iter","4","Pennsylvania",696.543980785395,84.6305756217328,0,426.845635062395,511.476210684128
2020-12-12,"44","4 wk ahead inc death","V3_iter","4","Rhode Island",73.0578530258723,19.5336423168965,0,35.195436239488,54.7290785563845
2020-12-12,"45","4 wk ahead inc death","V3_iter","4","South Carolina",138.149470574632,14.4065191701474,0,91.5538643049534,105.960383475101
2020-12-12,"46","4 wk ahead inc death","V3_iter","4","South Dakota",134.576627082957,13.5095564312147,0,88.6708452770628,102.180401708278
