"target_end_date","location","target","model","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-10-31,"01","1 wk ahead inc death","COVIDhub-ensemble","Alabama",59,5.82565217391304,0,34.6521739130435,40.4778260869565
2020-10-31,"02","1 wk ahead inc death","COVIDhub-ensemble","Alaska",4,0.687391304347826,0,1.47826086956522,2.16565217391304
2020-10-31,"04","1 wk ahead inc death","COVIDhub-ensemble","Arizona",15,4.9604347826087,0,3.60869565217391,8.56913043478261
2020-10-31,"05","1 wk ahead inc death","COVIDhub-ensemble","Arkansas",92,4.52304347826087,0,72.695652173913,77.2186956521739
2020-10-31,"06","1 wk ahead inc death","COVIDhub-ensemble","California",345,13.5939130434783,0,280.130434782609,293.724347826087
2020-10-31,"08","1 wk ahead inc death","COVIDhub-ensemble","Colorado",45,3.81521739130435,0,33.695652173913,37.5108695652174
2020-10-31,"09","1 wk ahead inc death","COVIDhub-ensemble","Connecticut",30,1.83695652173913,0,21.5652173913043,23.4021739130435
2020-10-31,"10","1 wk ahead inc death","COVIDhub-ensemble","Delaware",10,1.07478260869565,0,5.73913043478261,6.81391304347826
2020-10-31,"12","1 wk ahead inc death","COVIDhub-ensemble","Florida",478,17.9004347826087,0,397.130434782609,415.030869565217
2020-10-31,"13","1 wk ahead inc death","COVIDhub-ensemble","Georgia",173,8.37347826086956,0,137.173913043478,145.547391304348
2020-10-31,"15","1 wk ahead inc death","COVIDhub-ensemble","Hawaii",16,1.54434782608696,0,9.82608695652174,11.3704347826087
2020-10-31,"16","1 wk ahead inc death","COVIDhub-ensemble","Idaho",37,2.07173913043478,0,27.3478260869565,29.4195652173913
2020-10-31,"17","1 wk ahead inc death","COVIDhub-ensemble","Illinois",253,10.0282608695652,0,217.695652173913,227.723913043478
2020-10-31,"18","1 wk ahead inc death","COVIDhub-ensemble","Indiana",162,8.03739130434783,0,124.434782608696,132.472173913043
2020-10-31,"19","1 wk ahead inc death","COVIDhub-ensemble","Iowa",93,4.50391304347826,0,72.6521739130435,77.1560869565217
2020-10-31,"20","1 wk ahead inc death","COVIDhub-ensemble","Kansas",92,4.28086956521739,0,71.7391304347826,76.02
2020-10-31,"21","1 wk ahead inc death","COVIDhub-ensemble","Kentucky",71,3.98826086956522,0,56.3913043478261,60.3795652173913
2020-10-31,"22","1 wk ahead inc death","COVIDhub-ensemble","Louisiana",91,4.24521739130435,0,73.695652173913,77.9408695652174
2020-10-31,"23","1 wk ahead inc death","COVIDhub-ensemble","Maine",1,0.363913043478261,0,0.0434782608695652,0.407391304347826
2020-10-31,"24","1 wk ahead inc death","COVIDhub-ensemble","Maryland",38,2.79521739130435,0,27.8260869565217,30.6213043478261
2020-10-31,"25","1 wk ahead inc death","COVIDhub-ensemble","Massachusetts",109,5.91521739130435,0,89,94.9152173913044
2020-10-31,"26","1 wk ahead inc death","COVIDhub-ensemble","Michigan",140,7.6995652173913,0,103.652173913043,111.351739130435
2020-10-31,"27","1 wk ahead inc death","COVIDhub-ensemble","Minnesota",89,3.98652173913043,0,73.6086956521739,77.5952173913043
2020-10-31,"28","1 wk ahead inc death","COVIDhub-ensemble","Mississippi",78,3.18173913043478,0,61.8260869565217,65.0078260869565
2020-10-31,"29","1 wk ahead inc death","COVIDhub-ensemble","Missouri",127,12.8165217391304,0,64.8260869565217,77.6426086956522
2020-10-31,"30","1 wk ahead inc death","COVIDhub-ensemble","Montana",36,2.69695652173913,0,23.8260869565217,26.5230434782609
2020-10-31,"31","1 wk ahead inc death","COVIDhub-ensemble","Nebraska",36,2.51478260869565,0,26.3478260869565,28.8626086956522
