"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-10-31,"01","1 wk ahead inc death","V3_iter","1","Alabama",24.4976197064255,6.18482618059551,6.52088593237109,0,12.7057121129666
2020-10-31,"01","1 wk ahead inc death","V3_iter","2","Alabama",11.8652284222118,6.41986759079236,1.37661731679753,0,7.79648490758989
2020-10-31,"01","1 wk ahead inc death","V3_iter","3","Alabama",9.398892279061,6.3298082211608,0.740995794589696,0,7.0708040157505
2020-10-31,"01","1 wk ahead inc death","V3_iter","4","Alabama",10.3149946235762,6.28681146834809,0.957474125628895,0,7.24428559397698
2020-10-31,"02","1 wk ahead inc death","V3_iter","1","Alaska",5.68759111353991,1.44806258725278,1.19940807929952,0,2.6474706665523
2020-10-31,"02","1 wk ahead inc death","V3_iter","2","Alaska",7.00780859124431,0.774299001936335,3.66301872899201,0,4.43731773092835
2020-10-31,"02","1 wk ahead inc death","V3_iter","3","Alaska",7.48705225800163,0.75911829184678,4.11797717965948,0,4.87709547150626
2020-10-31,"02","1 wk ahead inc death","V3_iter","4","Alaska",7.50115535248543,0.754303270928587,4.14135627588878,0,4.89565954681737
2020-10-31,"04","1 wk ahead inc death","V3_iter","1","Arizona",31.2048636665501,5.91284467720922,9.71657497890057,0,15.6294196561098
2020-10-31,"04","1 wk ahead inc death","V3_iter","2","Arizona",37.740976555524,5.86683194533721,14.3101591886147,0,20.1769911339519
2020-10-31,"04","1 wk ahead inc death","V3_iter","3","Arizona",40.3333362231656,5.68155648657649,16.6926402076735,0,22.37419669425
2020-10-31,"04","1 wk ahead inc death","V3_iter","4","Arizona",40.6817378069398,5.65110523037149,17.0132996539275,0,22.664404884299
2020-10-31,"05","1 wk ahead inc death","V3_iter","1","Arkansas",20.370554695821,6.18093918443016,4.71476090537274,0,10.8957000898029
2020-10-31,"05","1 wk ahead inc death","V3_iter","2","Arkansas",14.983653513912,4.8634361972097,3.25256621593226,0,8.11600241314196
2020-10-31,"05","1 wk ahead inc death","V3_iter","3","Arkansas",12.475748045172,4.82631566215473,2.23538122088922,0,7.06169688304395
2020-10-31,"05","1 wk ahead inc death","V3_iter","4","Arkansas",13.584130455402,4.79107230901368,2.67440434740817,0,7.46547665642186
2020-10-31,"06","1 wk ahead inc death","V3_iter","1","California",66.158717542186,15.6889663760232,0,19.6051467147462,35.2941130907693
2020-10-31,"06","1 wk ahead inc death","V3_iter","2","California",76.523874554227,16.9630853537877,0,23.3345569936416,40.2976423474293
2020-10-31,"06","1 wk ahead inc death","V3_iter","3","California",79.464554719028,16.2152856504871,0,25.8683330666175,42.0836187171046
2020-10-31,"06","1 wk ahead inc death","V3_iter","4","California",76.11036089083,16.1454518701897,0,23.8314995684422,39.9769514386319
2020-10-31,"08","1 wk ahead inc death","V3_iter","1","Colorado",11.9234161077498,5.68652023520882,0,2.10789874620152,7.79441898141034
2020-10-31,"08","1 wk ahead inc death","V3_iter","2","Colorado",2.82254322004189,4.78027188562424,0.122719270436604,0,4.90299115606085
2020-10-31,"08","1 wk ahead inc death","V3_iter","3","Colorado",5.490396843124,4.56511584690506,0.402492165757817,0,4.96760801266288
2020-10-31,"08","1 wk ahead inc death","V3_iter","4","Colorado",5.7684562890659,4.54581613157822,0.442684671704152,0,4.98850080328237
2020-10-31,"09","1 wk ahead inc death","V3_iter","1","Connecticut",0.0965403045041029,4.34327309802733,0,0.00419740454365665,4.34747050257099
2020-10-31,"09","1 wk ahead inc death","V3_iter","2","Connecticut",3.6002192003448,4.30442660158377,0,0.269216649724444,4.57364325130822
2020-10-31,"09","1 wk ahead inc death","V3_iter","3","Connecticut",0.549281403498298,3.65770004254006,0,0.0238818001520999,3.68158184269216
2020-10-31,"09","1 wk ahead inc death","V3_iter","4","Connecticut",0.474616417149399,3.67921592236516,0,0.0206354963977999,3.69985141876296
2020-10-31,"10","1 wk ahead inc death","V3_iter","1","Delaware",14.5704377811174,1.71568894867554,6.54565249101807,0,8.26134143969361
2020-10-31,"10","1 wk ahead inc death","V3_iter","2","Delaware",13.7984705805259,1.19011623772772,7.54337437487636,0,8.73349061260409
2020-10-31,"10","1 wk ahead inc death","V3_iter","3","Delaware",13.139928769597,1.17195367764203,7.23168122419176,0,8.40363490183378
2020-10-31,"10","1 wk ahead inc death","V3_iter","4","Delaware",13.2928882524652,1.16410892016171,7.36855648822578,0,8.53266540838749
2020-10-31,"12","1 wk ahead inc death","V3_iter","1","Florida",180.11619265007,22.6846235718267,0,93.9940214172475,116.678644989074
2020-10-31,"12","1 wk ahead inc death","V3_iter","2","Florida",175.762142125919,25.2339203960695,0,81.9715242788719,107.205444674941
2020-10-31,"12","1 wk ahead inc death","V3_iter","3","Florida",181.888143059248,23.4636057936834,0,90.2297853772916,113.693391170975
2020-10-31,"12","1 wk ahead inc death","V3_iter","4","Florida",177.255021803494,23.416211485392,0,86.6274545067752,110.043665992167
2020-10-31,"13","1 wk ahead inc death","V3_iter","1","Georgia",23.260651990665,10.9889893823935,0,3.57061188989178,14.5596012722853
2020-10-31,"13","1 wk ahead inc death","V3_iter","2","Georgia",26.067366870319,10.7115030550929,0,5.13576367980039,15.8472667348933
2020-10-31,"13","1 wk ahead inc death","V3_iter","3","Georgia",28.452832911953,10.1796367768252,0,6.43229075541648,16.6119275322417
2020-10-31,"13","1 wk ahead inc death","V3_iter","4","Georgia",26.690797026168,10.1406621748383,0,5.75164283158704,15.8923050064254
2020-10-31,"15","1 wk ahead inc death","V3_iter","1","Hawaii",3.9113179551197,1.69298736733722,0,0.334572058126673,2.02755942546389
2020-10-31,"15","1 wk ahead inc death","V3_iter","2","Hawaii",10.8995793326084,1.65349699448654,0,4.96321698598285,6.6167139804694
2020-10-31,"15","1 wk ahead inc death","V3_iter","3","Hawaii",11.4298290693851,1.64274106050533,0,5.36350239951283,7.00624346001816
2020-10-31,"15","1 wk ahead inc death","V3_iter","4","Hawaii",11.2428593309255,1.63059874726457,0,5.24422020622328,6.87481895348785
2020-10-31,"16","1 wk ahead inc death","V3_iter","1","Idaho",6.130963884053,4.16345576011893,0.790704612633696,0,4.95416037275263
2020-10-31,"16","1 wk ahead inc death","V3_iter","2","Idaho",14.6509544339789,3.11213933211806,4.54788100552145,0,7.66002033763951
2020-10-31,"16","1 wk ahead inc death","V3_iter","3","Idaho",14.7999120456834,2.85527727872898,5.10230201250404,0,7.95757929123302
2020-10-31,"16","1 wk ahead inc death","V3_iter","4","Idaho",15.1217619931839,2.85274001198987,5.29469960173183,0,8.1474396137217
2020-10-31,"17","1 wk ahead inc death","V3_iter","1","Illinois",67.088377978192,16.1951082470925,0,19.897772581813,36.0928808289055
2020-10-31,"17","1 wk ahead inc death","V3_iter","2","Illinois",31.166535025053,14.9942286859953,0,5.04274384722639,20.0369725332216
2020-10-31,"17","1 wk ahead inc death","V3_iter","3","Illinois",29.074799313175,13.7698951832999,0,4.82237404543847,18.5922692287384
2020-10-31,"17","1 wk ahead inc death","V3_iter","4","Illinois",26.724462167195,13.7565353243766,0,4.10642054146813,17.8629558658448
2020-10-31,"18","1 wk ahead inc death","V3_iter","1","Indiana",61.930655706616,11.1314402949145,21.4945559376757,0,32.6259962325902
2020-10-31,"18","1 wk ahead inc death","V3_iter","2","Indiana",70.991420886249,9.73673473878181,30.7836977518779,0,40.5204324906597
2020-10-31,"18","1 wk ahead inc death","V3_iter","3","Indiana",69.132382233523,9.37396834947353,30.8801698046534,0,40.254138154127
2020-10-31,"18","1 wk ahead inc death","V3_iter","4","Indiana",70.864557377646,9.3281770623465,32.205588458596,0,41.5337655209425
2020-10-31,"19","1 wk ahead inc death","V3_iter","1","Iowa",19.7381822289464,4.57948641421511,5.60323179236422,0,10.1827182065793
2020-10-31,"19","1 wk ahead inc death","V3_iter","2","Iowa",8.7920381586636,5.04470264352891,0,1.02599631680995,6.07069896033885
2020-10-31,"19","1 wk ahead inc death","V3_iter","3","Iowa",11.0923352499419,4.95300408259627,0,1.49404880208433,6.4470528846806
2020-10-31,"19","1 wk ahead inc death","V3_iter","4","Iowa",10.1773937187515,4.9210145488869,0,1.283308884337,6.2043234332239
2020-10-31,"20","1 wk ahead inc death","V3_iter","1","Kansas",28.3518476355199,7.49356702236698,0,8.61540267781029,16.1089697001773
2020-10-31,"20","1 wk ahead inc death","V3_iter","2","Kansas",53.820643841601,8.48855752639185,0,25.0659657582001,33.5545232845919
2020-10-31,"20","1 wk ahead inc death","V3_iter","3","Kansas",50.652881014209,7.39973010229804,0,24.2094230082803,31.6091531105784
2020-10-31,"20","1 wk ahead inc death","V3_iter","4","Kansas",50.072878781874,7.42614286735878,0,23.7324022544738,31.1585451218326
2020-10-31,"21","1 wk ahead inc death","V3_iter","1","Kentucky",4.5057815317185,6.368926042547,0,0.195903544857326,6.56482958740432
2020-10-31,"21","1 wk ahead inc death","V3_iter","2","Kentucky",3.05102038423161,5.21109463434924,0,0.166005927165853,5.3771005615151
2020-10-31,"21","1 wk ahead inc death","V3_iter","3","Kentucky",2.92858095712521,4.92814418243347,0,0.163653159060001,5.09179734149347
2020-10-31,"21","1 wk ahead inc death","V3_iter","4","Kentucky",2.2749274815702,4.91126109186609,0,0.0989098905030523,5.01017098236914
2020-10-31,"22","1 wk ahead inc death","V3_iter","1","Louisiana",21.5030369092391,5.82732611550245,5.12260411540914,0,10.9499302309116
2020-10-31,"22","1 wk ahead inc death","V3_iter","2","Louisiana",14.1899574170274,5.41749870652535,2.29836131815337,0,7.71586002467872
2020-10-31,"22","1 wk ahead inc death","V3_iter","3","Louisiana",11.4009799145617,5.15139262046146,1.49154812117646,0,6.64294074163791
2020-10-31,"22","1 wk ahead inc death","V3_iter","4","Louisiana",12.3106111184973,5.13143224634754,1.77935652601007,0,6.91078877235762
2020-10-31,"23","1 wk ahead inc death","V3_iter","1","Maine",0.047322933152974,0.156531736800406,0.01028759416369,0,0.166819330964096
2020-10-31,"23","1 wk ahead inc death","V3_iter","2","Maine",1.02039166612945,0.341459275099471,0,0.161331869044325,0.502791144143795
2020-10-31,"23","1 wk ahead inc death","V3_iter","3","Maine",1.03926515498962,0.35198875516213,0,0.135737858085659,0.487726613247789
2020-10-31,"23","1 wk ahead inc death","V3_iter","4","Maine",1.02167962053151,0.348386481613338,0,0.13288138484508,0.481267866458417
2020-10-31,"24","1 wk ahead inc death","V3_iter","1","Maryland",8.9391095681595,3.51014763068505,1.33527136092204,0,4.84541899160709
2020-10-31,"24","1 wk ahead inc death","V3_iter","2","Maryland",7.5106000128931,2.58176876854606,1.38933044766155,0,3.97109921620762
2020-10-31,"24","1 wk ahead inc death","V3_iter","3","Maryland",7.0576362802492,2.67375920974658,1.26798642438285,0,3.94174563412944
2020-10-31,"24","1 wk ahead inc death","V3_iter","4","Maryland",7.4796891072437,2.64545974027187,1.40158752337714,0,4.04704726364901
2020-10-31,"25","1 wk ahead inc death","V3_iter","1","Massachusetts",4.23752586379101,8.15336523094096,0.184240254947435,0,8.33760548588839
2020-10-31,"25","1 wk ahead inc death","V3_iter","2","Massachusetts",12.137035162885,7.88916936324082,1.27145731183717,0,9.16062667507799
2020-10-31,"25","1 wk ahead inc death","V3_iter","3","Massachusetts",14.642433831479,7.4260391639022,1.87737322467056,0,9.30341238857276
2020-10-31,"25","1 wk ahead inc death","V3_iter","4","Massachusetts",15.53250454348,7.40346466684824,2.15709361766261,0,9.56055828451085
2020-10-31,"26","1 wk ahead inc death","V3_iter","1","Michigan",47.175917802541,14.5786179779479,0,11.0232583486569,25.6018763266049
2020-10-31,"26","1 wk ahead inc death","V3_iter","2","Michigan",27.892258604743,14.2735336666071,0,4.12029771823387,18.393831384841
2020-10-31,"26","1 wk ahead inc death","V3_iter","3","Michigan",21.637841301961,12.5847206762064,0,2.61583282103474,15.2005534972412
2020-10-31,"26","1 wk ahead inc death","V3_iter","4","Michigan",20.555810929029,12.6169368296706,0,2.38398507417778,15.0009219038483
2020-10-31,"27","1 wk ahead inc death","V3_iter","1","Minnesota",33.70861770418,5.72552028890611,12.4440943700483,0,18.1696146589544
